"method","currency","gross","fee","net amount","timestamp","datetime"
"Bitso+","usd","0.05","0","0.05","1709551299","03/04/2024 05:21:39"
"Bitso+","usd","0.01","0","0.01","1708341512","02/19/2024 05:18:32"
"Bitso+","usd","0.01","0","0.01","1707736849","02/12/2024 05:20:49"
"Bitso+","usd","0.08","0","0.08","1707131990","02/05/2024 05:19:50"
"Bitso+","usd","0.21","0","0.21","1706527204","01/29/2024 05:20:04"
"Bitso+","usd","0.25","0","0.25","1705922343","01/22/2024 05:19:03"
"Bitso+","usd","0.32","0","0.32","1705317688","01/15/2024 05:21:28"
"Bitso+","usd","0.11","0","0.11","1704712398","01/08/2024 05:13:18"
"SPEI Transfer","mxn","","","500.00","1703000781","12/19/2023 09:46:21"
"SPEI Transfer","mxn","","","500.00","1701358235","11/30/2023 09:30:35"
"SPEI Transfer","mxn","","","500.00","1697472675","10/16/2023 10:11:15"
"SPEI Transfer","mxn","","","500.00","1689878342","07/20/2023 12:39:02"
"SPEI Transfer","mxn","","","500.00","1689713611","07/18/2023 14:53:31"
"SPEI Transfer","mxn","","","500.00","1687286100","06/20/2023 12:35:00"
"SPEI Transfer","mxn","","","500.00","1686935615","06/16/2023 11:13:35"
"SPEI Transfer","mxn","","","500.00","1685563174","05/31/2023 13:59:34"
"SPEI Transfer","mxn","","","250.00","1683753466","05/10/2023 15:17:46"
"SPEI Transfer","mxn","","","500.00","1682613710","04/27/2023 10:41:50"
"SPEI Transfer","mxn","","","500.00","1682107588","04/21/2023 14:06:28"
"SPEI","mxn","","","7000","1678130690","03/06/2023 13:24:50"
"SPEI Transfer","mxn","","","83.21","1672678149","01/02/2023 10:49:09"
"SPEI Transfer","mxn","","","500.00","1672117428","12/26/2022 23:03:48"
"SPEI","mxn","","","100","1671842221","12/23/2022 18:37:01"
"SPEI","mxn","","","450","1670288330","12/05/2022 18:58:50"
"SPEI","mxn","","","145.00","1669738890","11/29/2022 10:21:30"
"SPEI","mxn","","","245","1669738796","11/29/2022 10:19:56"
"Bitso+","eth","0.00003555","0","0.00003555","1669040613","11/21/2022 08:23:33"
"Bitso+","btc","0.00000970","0","0.00000970","1669040613","11/21/2022 08:23:33"
"Bitso+","btc","0.00000879","0","0.00000879","1668436474","11/14/2022 08:34:34"
"Bitso+","eth","0.00003065","0","0.00003065","1668436474","11/14/2022 08:34:34"
"SPEI","mxn","","","1500","1668189289","11/11/2022 11:54:49"
"SPEI","mxn","","","500","1668058183","11/09/2022 23:29:43"
"SPEI","mxn","","","80","1667938570","11/08/2022 14:16:10"
"Bitso+","eth","0.00003065","0","0.00003065","1667821313","11/07/2022 05:41:53"
"Bitso+","usd","0.01","0","0.01","1667821313","11/07/2022 05:41:53"
"Bitso+","btc","0.00000767","0","0.00000767","1667821313","11/07/2022 05:41:53"
"SPEI","mxn","","","100.00","1667427315","11/02/2022 16:15:15"
"Bitso+","btc","0.00000741","0","0.00000741","1667216116","10/31/2022 05:35:16"
"Bitso+","usd","0.04","0","0.04","1667216116","10/31/2022 05:35:16"
"Bitso+","eth","0.00002090","0","0.00002090","1667216116","10/31/2022 05:35:16"
"Bitso+","eth","0.00002437","0","0.00002437","1666611938","10/24/2022 06:45:38"
"Bitso+","usd","0.02","0","0.02","1666611938","10/24/2022 06:45:38"
"Bitso+","btc","0.00000723","0","0.00000723","1666611938","10/24/2022 06:45:38"
"SPEI","mxn","","","200","1666560995","10/23/2022 16:36:35"
"SPEI","mxn","","","200","1666471094","10/22/2022 15:38:14"
"SPEI","mxn","","","500","1666385373","10/21/2022 15:49:33"
"Bitso+","btc","0.00000702","0","0.00000702","1666006786","10/17/2022 06:39:46"
"Bitso+","eth","0.00002436","0","0.00002436","1666006786","10/17/2022 06:39:46"
"SPEI","mxn","","","300","1665662961","10/13/2022 07:09:21"
"SPEI","mxn","","","500","1665422468","10/10/2022 12:21:08"
"Bitso+","eth","0.00002435","0","0.00002435","1665402076","10/10/2022 06:41:16"
"Bitso+","btc","0.00000642","0","0.00000642","1665402076","10/10/2022 06:41:16"
"Bitso+","btc","0.00000632","0","0.00000632","1664797448","10/03/2022 06:44:08"
"Bitso+","eth","0.00002364","0","0.00002364","1664797448","10/03/2022 06:44:08"
"SPEI","mxn","","","300","1664484240","09/29/2022 15:44:00"
"Bitso+","btc","0.00000586","0","0.00000586","1664192492","09/26/2022 06:41:32"
"Bitso+","eth","0.00002299","0","0.00002299","1664192492","09/26/2022 06:41:32"
"SPEI","mxn","","","1000","1663808624","09/21/2022 20:03:44"
"Bitso+","btc","0.00000525","0","0.00000525","1663587213","09/19/2022 06:33:33"
"Bitso+","eth","0.00002315","0","0.00002315","1663587213","09/19/2022 06:33:33"
"Bitso+","btc","0.00000525","0","0.00000525","1662982575","09/12/2022 06:36:15"
"Bitso+","eth","0.00002314","0","0.00002314","1662982574","09/12/2022 06:36:14"
"Bitso+","eth","0.00001979","0","0.00001979","1662377710","09/05/2022 06:35:10"
"Bitso+","btc","0.00000496","0","0.00000496","1662377708","09/05/2022 06:35:08"
"SPEI","mxn","","","1000","1662058409","09/01/2022 13:53:29"
"Bitso+","btc","0.00000467","0","0.00000467","1661772499","08/29/2022 06:28:19"
"Bitso+","btc","0.00000467","0","0.00000467","1661167433","08/22/2022 06:23:53"
"Bitso+","btc","0.00000467","0","0.00000467","1660562758","08/15/2022 06:25:58"
"Bitso+","btc","0.00001400","0","0.00001400","1659961872","08/08/2022 07:31:12"
"Bitso+","btc","0.00001398","0","0.00001398","1659349930","08/01/2022 05:32:10"
"Bitso+","btc","0.00001397","0","0.00001397","1658745109","07/25/2022 05:31:49"
"Bitso+","btc","0.00001327","0","0.00001327","1658151418","07/18/2022 08:36:58"
"SPEI","mxn","","","500","1657740083","07/13/2022 14:21:23"
"Bitso+","usd","0.03","0","0.03","1657557449","07/11/2022 11:37:29"
"Bitso+","btc","0.00001168","0","0.00001168","1657557437","07/11/2022 11:37:17"
"SPEI","mxn","","","150","1657299755","07/08/2022 12:02:35"
"Bitso+","btc","0.00000564","0","0.00000564","1656947960","07/04/2022 10:19:20"
"SPEI","mxn","","","150","1656781281","07/02/2022 12:01:21"
"SPEI","mxn","","","150","1656460559","06/28/2022 18:55:59"
"SPEI","mxn","","","150","1656127279","06/24/2022 22:21:19"
"SPEI","mxn","","","350.00","1655155386","06/13/2022 16:23:06"
"SPEI","mxn","","","100","1654451869","06/05/2022 12:57:49"
"SPEI","mxn","","","500","1652308587","05/11/2022 17:36:27"
"SPEI","mxn","","","189","1652244229","05/10/2022 23:43:49"
"SPEI","mxn","","","1200","1649266001","04/06/2022 12:26:41"
"SPEI","mxn","","","250","1646671694","03/07/2022 10:48:14"
"SPEI","mxn","","","300","1645729054","02/24/2022 12:57:34"
"SPEI","mxn","","","25","1644713356","02/12/2022 18:49:16"
"SPEI","mxn","","","20","1644617284","02/11/2022 16:08:04"
"SPEI","mxn","","","50","1644000724","02/04/2022 12:52:04"
"SPEI","mxn","","","20","1643908364","02/03/2022 11:12:44"
"SPEI","mxn","","","40","1643825926","02/02/2022 12:18:46"
"SPEI","mxn","","","250","1643033254","01/24/2022 08:07:34"
"SPEI","mxn","","","340","1642786733","01/21/2022 11:38:53"
"SPEI","mxn","","","500","1642288098","01/15/2022 17:08:18"
"SPEI","mxn","","","350","1641919908","01/11/2022 10:51:48"
"SPEI","mxn","","","25","1641851680","01/10/2022 15:54:40"
"SPEI","mxn","","","300","1641516411","01/06/2022 18:46:51"
"SPEI","mxn","","","400","1641262816","01/03/2022 20:20:16"
"SPEI","mxn","","","200","1640028832","12/20/2021 13:33:52"
"Bitcoin","btc","0.00205309","0","0.00205309","1639434254","12/13/2021 16:24:14"
"SPEI","mxn","","","2000","1638496195","12/02/2021 19:49:55"
"SPEI","mxn","","","600","1638464003","12/02/2021 10:53:23"
"SPEI","mxn","","","550","1638123268","11/28/2021 12:14:28"
"SPEI","mxn","","","450","1637703172","11/23/2021 15:32:52"
"SPEI","mxn","","","700","1637334602","11/19/2021 09:10:02"
"SPEI","mxn","","","500","1637159659","11/17/2021 08:34:19"
"Bitcoin Cash","bch","","","0.00300000","1584236824","03/14/2020 19:47:04"
"Bitcoin","btc","","","0.00010000","1584236712","03/14/2020 19:45:12"
"Bitcoin Cash","bch","","","0.00286941","1584164767","03/13/2020 23:46:07"
